Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.73     0.00       52     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::_Identity<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.73     0.00       49     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::_Identity<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_get_insert_unique_pos(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.73     0.00       32     0.00     0.00  mlx::model_events::CompletionWindow::admit(unsigned long, unsigned long, unsigned long)
  0.00      2.73     0.00       23     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.00      2.73     0.00       20     0.00     0.00  mlx::tensor_model::Tensor::~Tensor()
  0.00      2.73     0.00       20     0.00     0.00  void std::vector<mlx::shared_array::Resources::Template, std::allocator<mlx::shared_array::Resources::Template> >::_M_realloc_insert<mlx::shared_array::Resources::Template>(__gnu_cxx::__normal_iterator<mlx::shared_array::Resources::Template*, std::vector<mlx::shared_array::Resources::Template, std::allocator<mlx::shared_array::Resources::Template> > >, mlx::shared_array::Resources::Template&&)
  0.00      2.73     0.00       19     0.00     0.00  void std::vector<long, std::allocator<long> >::_M_realloc_insert<long>(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, long&&)
  0.00      2.73     0.00       18     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned int*>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned int*> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned int*> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned int*> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.73     0.00       12     0.00     0.00  mlx::model_system::(anonymous namespace)::Runner::open_window(mlx::model_system::(anonymous namespace)::Task&)
  0.00      2.73     0.00       12     0.00     0.00  mlx::tensor_model::strides(std::vector<long, std::allocator<long> > const&)
  0.00      2.73     0.00       12     0.00     0.00  std::_Sp_counted_ptr_inplace<mlx::tensor_model::Storage, std::allocator<mlx::tensor_model::Storage>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      2.73     0.00       12     0.00     0.00  std::_Sp_counted_ptr_inplace<mlx::tensor_model::Storage, std::allocator<mlx::tensor_model::Storage>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      2.73     0.00       11     0.00     0.00  mlx::model_system::(anonymous namespace)::Runner::start(unsigned int)
  0.00      2.73     0.00       11     0.00     0.00  mlx::tensor_model::dtype_name[abi:cxx11](mlx::tensor_model::DType)
  0.00      2.73     0.00       11     0.00     0.00  mlx::tensor_model::shape(Json::Value const&)
  0.00      2.73     0.00       11     0.00     0.00  mlx::model_storage::Arena::allocation(mlx::tensor_model::Tensor const&) const
  0.00      2.73     0.00       11     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned int>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned int> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned int> > >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
  0.00      2.73     0.00       10     0.00     0.00  mlx::model_system::(anonymous namespace)::Runner::region(mlx::model_system::(anonymous namespace)::Task&, mlx::tensor_model::Tensor const*, bool)
  0.00      2.73     0.00        9     0.00     0.00  mlx::model_storage::Arena::Pin::region() const
  0.00      2.73     0.00        9     0.00     0.00  mlx::model_storage::Arena::pin(mlx::tensor_model::Tensor const&, bool) const
