Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.05     59.17     0.04                             VTestHarness::_sequent__TOP__2204(VTestHarness__Syms*)
  0.05     59.22     0.04                             VTestHarness::_sequent__TOP__2227(VTestHarness__Syms*)
  0.05     59.26     0.04                             VTestHarness::_sequent__TOP__2325(VTestHarness__Syms*)
  0.05     59.30     0.04                             VTestHarness::_sequent__TOP__2353(VTestHarness__Syms*)
  0.05     59.34     0.04                             VTestHarness::_sequent__TOP__2704(VTestHarness__Syms*)
  0.05     59.38     0.04                             VTestHarness::_sequent__TOP__2708(VTestHarness__Syms*)
  0.05     59.41     0.04                             VTestHarness::_sequent__TOP__2730(VTestHarness__Syms*)
  0.05     59.45     0.04                             VTestHarness::_sequent__TOP__2740(VTestHarness__Syms*)
  0.05     59.49     0.04                             VTestHarness::_sequent__TOP__2762(VTestHarness__Syms*)
  0.05     59.53     0.04                             VTestHarness::_sequent__TOP__2815(VTestHarness__Syms*)
  0.05     59.58     0.04                             VTestHarness::_sequent__TOP__2897(VTestHarness__Syms*)
  0.05     59.62     0.04                             VTestHarness::_sequent__TOP__2963(VTestHarness__Syms*)
  0.05     59.66     0.04                             VTestHarness::_sequent__TOP__2965(VTestHarness__Syms*)
  0.05     59.70     0.04                             VTestHarness::_sequent__TOP__3004(VTestHarness__Syms*)
  0.05     59.73     0.04                             VTestHarness::_sequent__TOP__3064(VTestHarness__Syms*)
  0.05     59.77     0.04                             VTestHarness::_sequent__TOP__3107(VTestHarness__Syms*)
  0.05     59.81     0.04                             VTestHarness::_sequent__TOP__3111(VTestHarness__Syms*)
  0.05     59.85     0.04                             VTestHarness::_sequent__TOP__3114(VTestHarness__Syms*)
  0.05     59.90     0.04                             VTestHarness::_sequent__TOP__3175(VTestHarness__Syms*)
  0.05     59.94     0.04                             VTestHarness::_sequent__TOP__3180(VTestHarness__Syms*)
  0.05     59.98     0.04                             VTestHarness::_sequent__TOP__3191(VTestHarness__Syms*)
  0.05     60.02     0.04                             VTestHarness::_sequent__TOP__3250(VTestHarness__Syms*)
  0.05     60.05     0.04                             VTestHarness::_sequent__TOP__3292(VTestHarness__Syms*)
  0.05     60.09     0.04                             VTestHarness::_sequent__TOP__3332(VTestHarness__Syms*)
  0.05     60.13     0.04                             VTestHarness::_sequent__TOP__3367(VTestHarness__Syms*)
  0.05     60.17     0.04                             VTestHarness::_sequent__TOP__3369(VTestHarness__Syms*)
  0.05     60.22     0.04                             VTestHarness::_sequent__TOP__3413(VTestHarness__Syms*)
  0.05     60.26     0.04                             VTestHarness::_sequent__TOP__3545(VTestHarness__Syms*)
  0.05     60.30     0.04                             VTestHarness::_sequent__TOP__3554(VTestHarness__Syms*)
  0.05     60.34     0.04                             VTestHarness::_sequent__TOP__3558(VTestHarness__Syms*)
  0.05     60.38     0.04                             VTestHarness::_sequent__TOP__3565(VTestHarness__Syms*)
  0.05     60.41     0.04                             VTestHarness::_sequent__TOP__3697(VTestHarness__Syms*)
  0.05     60.45     0.04                             VTestHarness::_sequent__TOP__3840(VTestHarness__Syms*)
  0.05     60.49     0.04                             VTestHarness::eval_step()
  0.05     60.53     0.04                             mlx::clocked_device::Device::Impl::tick(mlx::clocked_device::Inputs const&)
  0.05     60.58     0.04                             mlx::model_io::QueuedPhysicalPort::advance(unsigned long)
  0.05     60.62     0.04                             context_t::switch_to()
  0.04     60.65     0.04                             VTestHarness::_sequent__TOP__63(VTestHarness__Syms*)
  0.04     60.69     0.04                             VTestHarness::_sequent__TOP__79(VTestHarness__Syms*)
  0.04     60.72     0.04                             VTestHarness::_sequent__TOP__84(VTestHarness__Syms*)
  0.04     60.76     0.04                             VTestHarness::_settle__TOP__1043(VTestHarness__Syms*)
  0.04     60.79     0.04                             VTestHarness::_settle__TOP__1066(VTestHarness__Syms*)
  0.04     60.83     0.04                             VTestHarness::_settle__TOP__1184(VTestHarness__Syms*)
  0.04     60.86     0.04                             VTestHarness::_settle__TOP__1301(VTestHarness__Syms*)
  0.04     60.90     0.04                             VTestHarness::_sequent__TOP__2301(VTestHarness__Syms*)
  0.04     60.93     0.04                             VTestHarness::_sequent__TOP__2439(VTestHarness__Syms*)
  0.04     60.97     0.04                             VTestHarness::_sequent__TOP__2533(VTestHarness__Syms*)
  0.04     61.00     0.04                             VTestHarness::_sequent__TOP__2617(VTestHarness__Syms*)
  0.04     61.03     0.04                             VTestHarness::_sequent__TOP__2620(VTestHarness__Syms*)
  0.04     61.07     0.04                             VTestHarness::_sequent__TOP__2750(VTestHarness__Syms*)
  0.04     61.10     0.04                             VTestHarness::_sequent__TOP__2913(VTestHarness__Syms*)
  0.04     61.14     0.04                             VTestHarness::_sequent__TOP__2983(VTestHarness__Syms*)
  0.04     61.17     0.04                             VTestHarness::_sequent__TOP__3073(VTestHarness__Syms*)
  0.04     61.21     0.04                             VTestHarness::_sequent__TOP__3089(VTestHarness__Syms*)
  0.04     61.24     0.04                             VTestHarness::_sequent__TOP__3098(VTestHarness__Syms*)
  0.04     61.28     0.04                             VTestHarness::_sequent__TOP__3157(VTestHarness__Syms*)
  0.04     61.31     0.04                             VTestHarness::_sequent__TOP__3260(VTestHarness__Syms*)
  0.04     61.35     0.04                             VTestHarness::_sequent__TOP__3386(VTestHarness__Syms*)
  0.04     61.38     0.04                             VTestHarness::_sequent__TOP__3464(VTestHarness__Syms*)
  0.04     61.42     0.04                             VTestHarness::_sequent__TOP__3625(VTestHarness__Syms*)
  0.04     61.45     0.04                             VTestHarness::_sequent__TOP__3799(VTestHarness__Syms*)
  0.04     61.49     0.04                             VTestHarness::_sequent__TOP__3857(VTestHarness__Syms*)
  0.04     61.52     0.03                             VTestHarness::_sequent__TOP__77(VTestHarness__Syms*)
  0.04     61.55     0.03                             VTestHarness::_sequent__TOP__96(VTestHarness__Syms*)
  0.04     61.58     0.03                             VTestHarness::_settle__TOP__407(VTestHarness__Syms*)
  0.04     61.61     0.03                             VTestHarness::_settle__TOP__410(VTestHarness__Syms*)
  0.04     61.64     0.03                             VTestHarness::_settle__TOP__479(VTestHarness__Syms*)
  0.04     61.67     0.03                             VTestHarness::_settle__TOP__551(VTestHarness__Syms*)
  0.04     61.70     0.03                             VTestHarness::_settle__TOP__699(VTestHarness__Syms*)
  0.04     61.73     0.03                             VTestHarness::_settle__TOP__718(VTestHarness__Syms*)
  0.04     61.76     0.03                             VTestHarness::_settle__TOP__733(VTestHarness__Syms*)
  0.04     61.79     0.03                             VTestHarness::_settle__TOP__779(VTestHarness__Syms*)
  0.04     61.82     0.03                             VTestHarness::_settle__TOP__855(VTestHarness__Syms*)
  0.04     61.85     0.03                             VTestHarness::_settle__TOP__898(VTestHarness__Syms*)
  0.04     61.88     0.03                             VTestHarness::_settle__TOP__935(VTestHarness__Syms*)
  0.04     61.91     0.03                             VTestHarness::_settle__TOP__969(VTestHarness__Syms*)
  0.04     61.94     0.03                             VTestHarness::_sequent__TOP__122(VTestHarness__Syms*)
  0.04     61.97     0.03                             VTestHarness::_sequent__TOP__134(VTestHarness__Syms*)
  0.04     62.00     0.03                             VTestHarness::_sequent__TOP__139(VTestHarness__Syms*)
  0.04     62.03     0.03                             VTestHarness::_sequent__TOP__158(VTestHarness__Syms*)
  0.04     62.06     0.03                             VTestHarness::_sequent__TOP__180(VTestHarness__Syms*)
  0.04     62.09     0.03                             VTestHarness::_sequent__TOP__196(VTestHarness__Syms*)
  0.04     62.12     0.03                             VTestHarness::_settle__TOP__1062(VTestHarness__Syms*)
  0.04     62.15     0.03                             VTestHarness::_settle__TOP__1069(VTestHarness__Syms*)
  0.04     62.18     0.03                             VTestHarness::_settle__TOP__1093(VTestHarness__Syms*)
  0.04     62.21     0.03                             VTestHarness::_settle__TOP__1168(VTestHarness__Syms*)
